0
Phylum CHORDATA
Class CHONDRICHTHYES
Order ORECTOLOBIFORMES
Family Ginglymostomatidae
"Ginglymostoma unami Moral-Flores, Ramírez-Antonio, Angulo &"
"Selar crumenophthalmus (Bloch, 1793)"
"Trachurus murphyi Nichols, 1920"
Family Bramidae
"Brama dussumieri Cuvier, 1831"
"Taractes rubescens (Jordan & Evermann, 1887)"
Family Caristiidae
Paracaristius sp.
Family Lobotidae
"Lobotes pacificus Gilbert, 1898"
Family Gerreidae
"Eucinostomus currani Zahuranec, 1980"
Family Polynemidae
"Polydactylus approximans (Lay & Bennett, 1839)"
Family Sciaenidae
"Menticirrhus paitensis Hildebrand, 1946"
"Umbrina xanti Gill, 1862"
Family Labridae
"Sagittalarva inornatus (Gilbert, 1890)"
Family Zoarcidae
"Pachycara bulbiceps (Garman, 1899)"
Family Dactyloscopidae
"Dactyloscopus amnis Miller & Briggs, 1962**"
"Dactyloscopus lacteus (Myers & Wade, 1946)"
"Dactyloscopus fallax Dawson, 1975"
Family Callionymidae
"Synchiropus atrilabiatus (Garman, 1899)"
Family Eleotridae
"Eleotris picta Kner, 1863**"
"Eleotris tubularis Heller & Snodgrass, 1903**"
"Gobiomorus maculatus (Günther, 1859)**"
Family Gobiidae
"Sicydium cocoensis (Heller & Snodgrass, 1903)**"
Family Schindleriidae
"Schindleria praematura (Schindler, 1930)"
Family Luvaridae
"Luvarus imperialis (Rafinesque, 1810)"
Family Gempylidae
"Gempylus serpens (Cuvier, 1829)"
"Lepidocybium flavobrunneum (Smith, 1843)"
"Nealotus tripes Johnson, 1865"
Family Trichiuridae
"Trichiurus lepturus Linnaeus, 1758"
Family Scombridae
"Acanthocybium solandri (Cuvier, 1832)"
"Auxis rochei (Risso, 1862)"
"Auxis thazard (Lacepède, 1800)"
"Auxis brachydorax Collette & Aadland, 1996"
"Auxis eudorax Collette & Aadland, 1996"
"Euthynnus lineatus (Kishinouye, 1920)"
"Katsuwonus pelamis (Linnaeus, 1758)"
"Sarda orientalis (Temminck & Schlegel, 1844)"
"Scomber japonicus Houttuyn, 1782"
"Scomberomorus sierra Jordan & Starks, 1895"
"Thunnus obesus (Lowe, 1839)"
Family Xiphiidae
"Xiphias gladius (Linnaeus, 1758)"
Family Istiophoridae
"Istiophorus platypterus (Saw, 1792)"
