Group,,Scientific Name,English Name
,392,Neopomacentrus filamentosus,Brown demoiselle
,393,Neopomacentrus nemurus,Coral demoiselle
,394,Neopomacentrus violascens,Violet demoiselle
,395,Novaculichthys taeniourus,"Rockmover wrasse; Dragon wrasse, Masked wrasse; Olive-scribbled wrasse; Reindeer wrasse; Tahiti sand wrasse"
,396,Odonus niger,Redtoothed triggerfish
,397,Ostracion cubicus,Yellow boxfish
,398,Ostracion meleagris,Whitespotted boxfish
,399,Ostracion solorensis,Reticulate boxfish
,400,Oxycheilinus arenatus,Speckled maori wrasse; Arenatus wrasse; Thin-line maori wrasse
,401,Oxycheilinus bimaculatus,"Two-spot wrasse, Comettailed wrasse, Little maori wrasse, Twospot maori wrasse"
,402,Oxycheilinus celebicus,"Celebes wrasse, Celebes maori wrasse, Slender maori, Slender maori wrasse"
,403,Oxycheilinus digramma,"Cheeklined wrasse, Bandcheek wrasse, Cheek-lined Maori wrasse, Cheeklined Maori wrasse"
,404,Oxycheilinus mentalis,Mental wrasse
,405,Oxycheilinus unifasciatus,"Ringtail maori wrasse, Ringtail wrasse, Rosecolored wrasse, Tail-band maori wrasse, Whiteband maori wrasse"
,406,Paracaesio sordida,"Dirty ordure snapper, Smallscale Snapper, Fusilier Snapper, Blue Snapper"
,407,Paracaesio xanthura,"Yellowtail blue snapper, Yellowback Fusilier, Pedley's Fusilier, Southern Fusilier, Gold-backed Fusilier, False Fusilier, Yellowtail Fusilier"
,408,Paracanthurus hepatus,"Palette surgeonfish, ndo-Pacific Bluetang, Dory, Flagtail Surgeonfish, Hepatus Tang, Blue Tang, Blue Surgeonfish, Regal Blue Surgeonfish, Wedgetail Blue Tang, Wedge-tailed Tang"
,409,Paracirrhites arcatus,"Arc-eye hawkfish, Whiteline Hawkfish, Ring-eye Hawkfish , Horseshoe Hawkfish"
,410,Paracirrhites forsteri,"Blackside hawkfish, Freckled Hawkfish, Forster's Hawkfish"
,411,Paracirrhites hemistictus,"Whitespot hawkfish, Halfspotted Hawkfish , Ornate Hawkfish"
