Species,S,N,FO%,SL (mm),TW (g),Locality
Scombrolabracidae,,,,,,
"Scombrolabrax heterolepis Roule, 1921",2,1.0,1.2,76,6.1,FNR
SCOMBRIFORMES,,,,,,
Gempylidae,,,,,,
"Gempylus serpens Cuvier, 1829",1-2,3.0,3.7,68 (44–112),1.1 (0.9–1.3),FNR
"Lepidocybium flavobrunneum (Smith, 1843)",1,1.0,1.2,36,4.1,FNR
"Nesiarchus nasutus Johnson, 1862",2,4.0,3.7,107 (85–145),1.7 (0.7–2.8),FNR
"Promethichthys prometheus (Cuvier, 1832)",1,15.0,1.2,154 (112–191),20.2 (15.0–34.0),FNR
Nomeidae,,,,,,
"Cubiceps pauciradiatus Günther, 1872",2,10.0,7.3,91 (75–129),13.2 (6.7–30.3),FNR
"Psenes cyanophrys Valenciennes, 1833",1-2,5.0,3.7,86 (14–133),38.9 (8.9–70.2),FNR
Trichiuridae,,,,,,
"7Aphanopus intermedius Parin, 1983",2,1.0,1.2,720,550,FNR
TRACHINIFORMES,,,,,,
Chiasmodontidae,,,,,,
"Chiasmodon braueri Weber, 1913",2,2.0,1.2,82 (70–95),2.9 (2.2–3.7),FNR
"Chiasmodon niger Johnson, 1864",2,1.0,1.2,90,7.9,FNR
"Kali kerberti (Weber, 1913)",2,5.0,4.9,127 (69–170),11.8 (1.1–29.3),FNR
"1Pseudoscopelus cordilluminatus Melo, 2010",2,2.0,2.4,44 (31–57),3.3 (2.2–4.3),FNR-PE
"Pseudoscopelus scutatus Krefft, 1971",2,2.0,2.4,71 (67–75),2.3 (2.0–2.7),FNR
SCORPAENIFORMES,,,,,,
Setarchidae,,,,,,
"Ectreposebastes imus Garman, 1899",2,27.0,4.9,167 (29–234),144.0 (0.8–290.3),FNR
CAPROIFORMES,,,,,,
Caproidae,,,,,,
"Antigonia capros Lowe, 1843",2,1.0,1.2,29,1.9,FNR
"Antigonia combatia Berry & Rathjen, 1959",2,1.0,1.2,38,2.7,FNR
LOPHIIFORMES,,,,,,
Ceratiidae,,,,,,
"Ceratias uranoscopus Murray, 1877",2,1.0,1.2,76,8.1,FNR
Himantolophidae,,,,,,
Himantolophus spp.*,1-2,13.0,12.2,30(9–50),1.6(0.5–5.3),FNR-RN
Melanocetidae,,,,,,
"Melanocetus johnsonii Günther, 1864",1-2,5.0,4.9,16 (14–19),1.6 (0.7–3.3),FNR
Thaumatichthyidae,,,,,,
8Thaumatichthys sp.*,2,1.0,1.2,32,0.3,FNR
Oneirodidae,,,,,,
"Chaenophryne draco Beebe, 1932",2,2.0,2.4,72 (55–90),60.3 (12.0–108.7),FNR-PE
"8Chaenophryne ramifera Regan & Trewavas, 1932",2,4.0,4.9,41 (32–50),3.6 (2.5–6.2),FNR-PE
8Dolopichthys sp.*,2,1.0,1.2,35,0.7,FNR
"8Oneirodes anisacanthus (Regan, 1925)",2,2.0,2.4,39 (30–48),3.0 (1.1–4.9),FNR
"8Oneirodes carlsbergi (Regan & Trewavas, 1932)",2,2.0,2.4,59 (19–98),32.6 (0.4–64.8),FNR-PE
Caulophrynidae,,,,,,
8Caulophryne sp.*,1,1.0,1.2,6,0.2,FNR
Gigantactinidae,,,,,,
"8Gigantactis watermani Bertelsen, Pietsch & Lavenberg, 1981",2,1.0,1.2,170,45.1,FNR
8Rhynchactis sp.*,2,2.0,2.4,78 (42–113),6.7 (4.0–9.4),FNR-RN
